p,ARI_mean,ARI_std,Precision_mean,Precision_std,Recall_mean,Recall_std
1,0.20952677755831747,0.020298524454112687,0.4864864864864865,0.026967502017873353,0.4665945945945948,0.02403892630893056
2,0.2338028587415003,0.033415980651978906,0.5106486486486488,0.03403864945446148,0.49059459459459476,0.03619297358248074
3,0.24280849755035233,0.035285359360281196,0.5177837837837838,0.0329955173261927,0.48345945945945945,0.0350044972588074
4,0.24287168748258053,0.04615253053650407,0.5156756756756756,0.05272972280327438,0.495027027027027,0.049311875511603466
5,0.21062128863408516,0.03834177708812525,0.4838378378378379,0.043433668560757414,0.4581621621621624,0.04481025657401846
6,0.17879281271257202,0.03154767407276328,0.4528648648648649,0.03712911552768955,0.44199999999999995,0.03629764947203928
7,0.13444212732145547,0.027465230730368377,0.40578378378378394,0.036070744546316744,0.38837837837837846,0.03386584627899976
8,0.1091324947014464,0.019936718196432314,0.37637837837837834,0.028210882793028937,0.3696756756756758,0.027859031554464817
9,0.08581467187818806,0.018650671472382266,0.345027027027027,0.024903671245222837,0.33956756756756756,0.028708555416932766
10,0.06317229611452309,0.018222511588614067,0.32572972972972963,0.02659239718454229,0.30713513513513513,0.026754081220311494
11,0.050195794277473886,0.008577390698391089,0.31545945945945947,0.01572257662191055,0.31643243243243246,0.02190249993236093
